team,year,total_attempted,long_two_attempted,long_two_percent
nuggets,2011,6028,464,7.7
pacers,2011,6248,485,7.8
76ers,2011,6531,513,7.9
spurs,2011,6567,568,8.6
thunder,2011,6828,606,8.9
bucks,2011,5645,507,9
rockets,2011,5542,526,9.5
nets,2011,5320,507,9.5
mavericks,2011,5724,544,9.5
blazers,2011,5542,526,9.5
cavaliers,2011,5360,528,9.9
magic,2011,5551,552,9.9
jazz,2011,5874,581,9.9
knicks,2011,5702,591,10.4
heat,2011,6961,731,10.5
kings,2011,5712,606,10.6
pistons,2011,5232,559,10.7
bulls,2011,5945,674,11.3
lakers,2011,6316,749,11.9
grizzlies,2011,5956,725,12.2
wizards,2011,5472,672,12.3
celtics,2011,6629,827,12.5
timberwolves,2011,5433,697,12.8
warriors,2011,5443,701,12.9
suns,2011,5445,729,13.4
clippers,2011,6190,836,13.5
hornets,2011,5293,738,13.9
hawks,2011,5824,875,15
raptors,2011,5154,812,15.8
