Rk,Team,Overall
1,Hornets,50-16
2,Spurs,50-16
3,Thunder,47-19
4,Grizzlies,46-20
5,Rockets,42-24
6,Clippers,41-25
7,Lakers,41-25
8,Hawks,40-26
9,Pacers,40-26
10,Celtics,39-27
11,Mavericks,38-28
12,Magic,37-29
13,Cavaliers,36-30
14,Knicks,36-30
15,Jazz,36-30
16,76ers,35-31
17,Warriors,34-32
18,Suns,33-33
19,Heat,31-35
20,Trail Blazers,28-38
21,Bucks,26-40
22,Nuggets,25-41
23,Pistons,23-43
24,Raptors,23-43
25,Timberwolves,22-44
26,Kings,22-44
27,Bulls,21-45
28,Pelicans,21-45
29,Wizards,20-46
30,Nets,7-59
